analysis,fold,activity,Ea_eV,inner_cv_R2,n_training_records,n_training_groups,inner_cv_kind,inner_cv_splits,used_default_Ea,selection_reason
random_5fold_cv,1,catalase,0.8999999999999999,-0.35428326191364573,32,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,1,peroxidase,1.5,-0.28269140496022,29,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,1,unknown,0.4,,7,,,0,True,fewer_than_10_training_records
random_5fold_cv,2,catalase,1.0999999999999999,-0.06898004129801572,35,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,2,peroxidase,0.8999999999999999,-0.3970239752121117,26,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,2,unknown,0.4,,8,,,0,True,fewer_than_10_training_records
random_5fold_cv,3,catalase,1.5,0.15816234653549685,31,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,3,peroxidase,0.1,0.10598675995183753,30,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,3,unknown,0.4,,8,,,0,True,fewer_than_10_training_records
random_5fold_cv,4,catalase,0.1,0.30130843171837113,33,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,4,peroxidase,1.2,-0.014704804779631653,30,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,4,unknown,0.4,,6,,,0,True,fewer_than_10_training_records
random_5fold_cv,5,catalase,0.9999999999999999,-0.472442690945343,37,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,5,peroxidase,1.3,-0.42064404913399556,25,,KFold,3,False,grid_search_best_inner_cv_R2
random_5fold_cv,5,unknown,0.4,,7,,,0,True,fewer_than_10_training_records
publication_grouped_cv,1,catalase,0.7999999999999999,-1.575228932484647,36,15.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,1,peroxidase,1.2,-0.01351678720971509,25,13.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,1,unknown,0.4,,7,2.0,,0,True,fewer_than_10_training_records
publication_grouped_cv,2,catalase,0.4,-1.225887449882518,29,13.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,2,peroxidase,0.2,-0.5415263879693395,32,14.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,2,unknown,0.4,,8,2.0,,0,True,fewer_than_10_training_records
publication_grouped_cv,3,catalase,0.4,-0.45731635282325006,36,12.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,3,peroxidase,1.5,-1.7520567135295746,24,11.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,3,unknown,0.4,,9,3.0,,0,True,fewer_than_10_training_records
publication_grouped_cv,4,catalase,0.2,-32.67250288774998,33,12.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,4,peroxidase,0.4,-0.6453098685791255,27,12.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,4,unknown,0.4,,9,3.0,,0,True,fewer_than_10_training_records
publication_grouped_cv,5,catalase,0.4,-0.8189613804952794,34,12.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,5,peroxidase,0.8999999999999999,-0.636756620420564,32,14.0,GroupKFold,3,False,grid_search_best_inner_cv_R2
publication_grouped_cv,5,unknown,0.4,,3,2.0,,0,True,fewer_than_10_training_records
known_activity_only_random_5fold,1,catalase,1.3,-0.45138062061333034,34,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,1,peroxidase,1.5,-0.20471483744386929,27,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,1,unknown,0.4,,0,,,0,True,class_absent_from_training_partition
known_activity_only_random_5fold,2,catalase,1.3,-0.44815000632062807,34,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,2,peroxidase,1.2,-0.061160186155413854,27,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,2,unknown,0.4,,0,,,0,True,class_absent_from_training_partition
known_activity_only_random_5fold,3,catalase,0.7999999999999999,-0.00555501690896613,33,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,3,peroxidase,0.2,-0.2867287313135218,29,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,3,unknown,0.4,,0,,,0,True,class_absent_from_training_partition
known_activity_only_random_5fold,4,catalase,0.7999999999999999,0.37552029576350043,32,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,4,peroxidase,0.2,0.017218379594792665,30,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,4,unknown,0.4,,0,,,0,True,class_absent_from_training_partition
known_activity_only_random_5fold,5,catalase,0.7999999999999999,0.22379519861230876,35,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,5,peroxidase,0.9999999999999999,-0.4658975798592057,27,,KFold,3,False,grid_search_best_inner_cv_R2
known_activity_only_random_5fold,5,unknown,0.4,,0,,,0,True,class_absent_from_training_partition
