model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
M1_raw_independent,1,Km (mM),0.21307819949992812,1.164641937891386,0.9463313639402848,16.666666666666664,38.88888888888889
M1_raw_independent,1,Kcat (s⁻¹),0.6174050245327185,1.8475476012038474,1.4151136471455976,5.555555555555555,33.33333333333333
M1_raw_independent,1,Vmax (nM s⁻¹),-0.430885312124637,1.5855375746141078,1.2309277268398235,16.666666666666664,38.88888888888889
M2_raw_chain,1,Km (mM),0.213078199499928,1.164641937891386,0.9463313639402848,16.666666666666664,38.88888888888889
M2_raw_chain,1,Kcat (s⁻¹),0.5870335061797205,1.9194792148847117,1.509216573159811,5.555555555555555,27.77777777777778
M2_raw_chain,1,Vmax (nM s⁻¹),-0.3026669462715501,1.5128324185720123,1.1293122673855143,22.22222222222222,44.44444444444444
M3_physics_independent,1,Km (mM),0.4411198356033659,0.9814902375376605,0.7046381432178564,38.88888888888889,61.111111111111114
M3_physics_independent,1,Kcat (s⁻¹),0.6505146591582947,1.765795832441795,1.3049229036799324,27.77777777777778,44.44444444444444
M3_physics_independent,1,Vmax (nM s⁻¹),0.09158652008706003,1.2633273859613445,0.9840289178947271,22.22222222222222,38.88888888888889
M4_full_physics_chain,1,Km (mM),0.4411198356033659,0.9814902375376605,0.7046381432178564,38.88888888888889,61.111111111111114
M4_full_physics_chain,1,Kcat (s⁻¹),0.6475483814847676,1.7732736475869246,1.3163458934802426,27.77777777777778,38.88888888888889
M4_full_physics_chain,1,Vmax (nM s⁻¹),0.10604159631592391,1.25323576793121,0.9740625129792421,22.22222222222222,44.44444444444444
A0_physics_no_arrhenius,1,Km (mM),0.25119987695711155,1.1360817665987861,0.8900357528900761,16.666666666666664,50.0
A0_physics_no_arrhenius,1,Kcat (s⁻¹),0.669187225137706,1.7179761942317033,1.2833523121730062,27.77777777777778,33.33333333333333
A0_physics_no_arrhenius,1,Vmax (nM s⁻¹),-0.06974559055492513,1.3709271527197857,1.0218942115834198,22.22222222222222,44.44444444444444
A1_physics_plus_activity_category,1,Km (mM),0.38945644488657316,1.0258525959712848,0.7053358937697207,33.33333333333333,72.22222222222221
A1_physics_plus_activity_category,1,Kcat (s⁻¹),0.6000231664552031,1.8890498753088385,1.427359254699722,27.77777777777778,27.77777777777778
A1_physics_plus_activity_category,1,Vmax (nM s⁻¹),0.15787511665937692,1.2163606885768192,0.9259784470869901,22.22222222222222,44.44444444444444
A2_physics_plus_arrhenius,1,Km (mM),0.441119835603366,0.9814902375376605,0.7046381432178564,38.88888888888889,61.111111111111114
A2_physics_plus_arrhenius,1,Kcat (s⁻¹),0.6475483814847676,1.7732736475869246,1.3163458934802426,27.77777777777778,38.88888888888889
