model,target,n_folds,mean_R2,std_R2,mean_RMSE_log10,std_RMSE_log10,mean_MAE_log10,mean_within_2x_pct,mean_within_5x_pct
M1_raw_independent,Km (mM),5,-0.1821953572104319,0.30861593139816135,1.4255347634667621,0.305152013495426,1.1628565801368298,16.274509803921568,38.36601307189543
M1_raw_independent,Kcat (s⁻¹),5,0.4081340776253496,0.16141930307285066,2.444628698315858,0.38103967839627884,1.9512917392591589,9.346405228758169,25.490196078431374
M1_raw_independent,Vmax (nM s⁻¹),5,0.08459556933597892,0.26799572088702966,1.5542629957175862,0.42442759572242605,1.0037446695101504,31.568627450980394,59.54248366013071
M2_raw_chain,Km (mM),5,-0.18219535721043192,0.30861593139816135,1.4255347634667621,0.305152013495426,1.1628565801368298,16.274509803921568,38.36601307189543
M2_raw_chain,Kcat (s⁻¹),5,0.38082105111465187,0.15705672872526,2.5034220178661686,0.3620327116818376,2.081364171758056,4.640522875816993,16.143790849673202
M2_raw_chain,Vmax (nM s⁻¹),5,0.06484960533140072,0.19242774947520777,1.5826486325492355,0.42907715426889415,1.025893670497109,24.44444444444445,58.300653594771234
M3_physics_independent,Km (mM),5,0.34521177166558614,0.3630328409538205,1.0685465723902312,0.45274729944030495,0.8117594243529395,31.307189542483666,59.28104575163398
M3_physics_independent,Kcat (s⁻¹),5,0.471105052761119,0.11182875034115912,2.323915782519848,0.32916878597978066,1.7523434679461587,20.84967320261438,35.94771241830066
M3_physics_independent,Vmax (nM s⁻¹),5,0.3130132268591348,0.12030204531970612,1.3484903475608552,0.3291680269157079,0.841778625414792,35.032679738562095,61.89542483660131
M4_full_physics_chain,Km (mM),5,0.3452117716655862,0.36303284095382043,1.0685465723902312,0.4527472994403049,0.8117594243529395,31.307189542483666,59.28104575163398
M4_full_physics_chain,Kcat (s⁻¹),5,0.46540293786035997,0.10568204777104996,2.336108186645468,0.3022448977530474,1.7767616481249093,22.026143790849677,33.66013071895425
M4_full_physics_chain,Vmax (nM s⁻¹),5,0.321144049504846,0.11632278354367073,1.352745944741554,0.37224851193633307,0.8293097597635866,42.09150326797386,64.18300653594773
A0_physics_no_arrhenius,Km (mM),5,-0.2039596087620718,0.3099052296715002,1.4377190603098104,0.3086884178124571,1.1332273267571895,19.80392156862745,44.11764705882352
A0_physics_no_arrhenius,Kcat (s⁻¹),5,0.4780686229441436,0.14497152685551778,2.2984106626146463,0.37542160250115614,1.7362002998736714,17.3202614379085,36.07843137254902
A0_physics_no_arrhenius,Vmax (nM s⁻¹),5,0.20824993563778232,0.19601640441393547,1.4514278808530876,0.41986669462054893,0.9094191257919174,31.503267973856207,63.006535947712415
A1_physics_plus_activity_category,Km (mM),5,0.5939209112674366,0.15983911390710956,0.8313699604264493,0.24238078049431366,0.6072922742586995,38.4313725490196,72.09150326797383
A1_physics_plus_activity_category,Kcat (s⁻¹),5,0.4243966289287965,0.09909055755646125,2.4278375500669536,0.2971724147328286,1.8204717992184634,24.37908496732026,31.437908496732025
A1_physics_plus_activity_category,Vmax (nM s⁻¹),5,0.36322359660377257,0.13013293549673055,1.3122696840153174,0.3773779478915784,0.7807067501242776,38.56209150326797,63.006535947712415
A2_physics_plus_arrhenius,Km (mM),5,0.34521177166558614,0.3630328409538205,1.0685465723902312,0.45274729944030495,0.8117594243529395,31.307189542483666,59.28104575163398
A2_physics_plus_arrhenius,Kcat (s⁻¹),5,0.46540293786035997,0.10568204777104998,2.336108186645468,0.3022448977530474,1.7767616481249093,22.026143790849677,33.66013071895425
A2_physics_plus_arrhenius,Vmax (nM s⁻¹),5,0.321144049504846,0.11632278354367064,1.352745944741554,0.37224851193633307,0.8293097597635866,42.09150326797386,64.18300653594773
A3_physics_plus_activity_and_arrhenius,Km (mM),5,0.6126960480995609,0.15269245712303814,0.8121276120286186,0.23409807580345582,0.5947356306534821,39.6078431372549,72.09150326797383
A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),5,0.40914429191066165,0.09081483215404436,2.461067879958646,0.27677359230641146,1.845347508358835,23.20261437908497,36.07843137254902
A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),5,0.34996691109590383,0.12945268513873265,1.3242616140704397,0.37108617555478507,0.7814993791304471,38.56209150326797,60.588235294117645
