comparison,base_model,enhanced_model,fold,target,delta_R2
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Km (mM),0.22804163610343775
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Kcat (s⁻¹),0.033109634625576145
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Vmax (nM s⁻¹),0.522471832211697
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Km (mM),0.5757798896604377
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Kcat (s⁻¹),0.019005634441564223
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Vmax (nM s⁻¹),0.2529781952780946
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Km (mM),1.0692586035525147
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Kcat (s⁻¹),0.12675607235411812
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Vmax (nM s⁻¹),0.1077406807537814
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Km (mM),0.7882322459782424
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Kcat (s⁻¹),-0.035785546506527544
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Vmax (nM s⁻¹),0.19244496751506435
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Km (mM),-0.02427673091454219
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Kcat (s⁻¹),0.1717690807641168
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Vmax (nM s⁻¹),0.06645261185714213
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Kcat (s⁻¹),-0.0029662776735270846
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Vmax (nM s⁻¹),0.014455076228863883
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Kcat (s⁻¹),0.05080084083857339
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Vmax (nM s⁻¹),-0.05433995790332047
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Kcat (s⁻¹),-0.0031511791348558527
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Vmax (nM s⁻¹),-0.012563276313693583
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Kcat (s⁻¹),-0.03107796372210958
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Vmax (nM s⁻¹),-0.021722005037074887
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Km (mM),2.220446049250313e-16
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Kcat (s⁻¹),-0.04211599481187622
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Vmax (nM s⁻¹),0.11482427625378089
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Km (mM),0.13825656792946162
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Kcat (s⁻¹),-0.06916405868250286
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Vmax (nM s⁻¹),0.22762070721430205
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Km (mM),0.9080299146239137
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Kcat (s⁻¹),-0.06436896838150008
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Vmax (nM s⁻¹),0.1571538139430806
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Km (mM),1.1705475490443495
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Kcat (s⁻¹),0.1172358473534203
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Vmax (nM s⁻¹),-0.15587473271743046
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Km (mM),0.8791367249946349
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Kcat (s⁻¹),-0.13873057288266077
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Vmax (nM s⁻¹),0.1468785710654834
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,5,Km (mM),0.8934318435551829
