model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A0_physics_no_arrhenius,1,Km (mM),0.09424465408201521,1.146607525403418,0.8847326761352453,43.75,43.75
A0_physics_no_arrhenius,1,Kcat (s⁻¹),0.37459800254606457,2.3490732644938346,1.6222985945711792,31.25,31.25
A0_physics_no_arrhenius,1,Vmax (nM s⁻¹),0.49443253920595087,0.6477809239920109,0.5347196087515862,25.0,75.0
A1_physics_plus_activity_category,1,Km (mM),0.5652089390010939,0.7944190285339068,0.6294380359688589,31.25,62.5
A1_physics_plus_activity_category,1,Kcat (s⁻¹),0.3263724356394797,2.437961567330226,1.5996476780484934,25.0,50.0
A1_physics_plus_activity_category,1,Vmax (nM s⁻¹),0.47387508736735184,0.6608197751740522,0.5287057876941568,25.0,68.75
A2_physics_plus_arrhenius,1,Km (mM),0.1017948213481008,1.1418185969789951,0.8855819479885563,37.5,43.75
A2_physics_plus_arrhenius,1,Kcat (s⁻¹),0.3785758722740914,2.3415907064537906,1.6586564575288971,31.25,31.25
A2_physics_plus_arrhenius,1,Vmax (nM s⁻¹),0.48271581247537976,0.6552442205635373,0.5347929049363633,37.5,68.75
A3_physics_plus_activity_and_arrhenius,1,Km (mM),0.582538295213457,0.7784265784127916,0.6162979336137017,31.25,62.5
A3_physics_plus_activity_and_arrhenius,1,Kcat (s⁻¹),0.31588290112337025,2.456869860904761,1.6043803755500956,25.0,50.0
A3_physics_plus_activity_and_arrhenius,1,Vmax (nM s⁻¹),0.46635232634636925,0.6655273503080937,0.5377755783778226,25.0,68.75
A0_physics_no_arrhenius,2,Km (mM),-0.09172130590683292,1.6197454186812466,1.353751092351488,18.75,37.5
A0_physics_no_arrhenius,2,Kcat (s⁻¹),0.4505901466833303,1.880375627757229,1.3051534065547836,31.25,56.25
A0_physics_no_arrhenius,2,Vmax (nM s⁻¹),0.10086229693990201,0.5432849949211191,0.47736758840469784,25.0,81.25
A1_physics_plus_activity_category,2,Km (mM),0.8265231561104789,0.6456715094615727,0.4896612705009406,37.5,75.0
A1_physics_plus_activity_category,2,Kcat (s⁻¹),0.361226228661386,2.027542326321001,1.2463777896893031,43.75,50.0
A1_physics_plus_activity_category,2,Vmax (nM s⁻¹),-0.015871866625637443,0.5774761766173359,0.4171866846277713,56.25,75.0
A2_physics_plus_arrhenius,2,Km (mM),-0.08703257105933027,1.6162634271699678,1.3540532061054213,18.75,37.5
A2_physics_plus_arrhenius,2,Kcat (s⁻¹),0.4418340873113642,1.8953003673394326,1.2909896281079116,25.0,56.25
A2_physics_plus_arrhenius,2,Vmax (nM s⁻¹),0.1312886485975331,0.5340136448313066,0.45465911966214023,37.5,81.25
A3_physics_plus_activity_and_arrhenius,2,Km (mM),0.8248706760822786,0.648739441785539,0.4932951673759116,43.75,75.0
A3_physics_plus_activity_and_arrhenius,2,Kcat (s⁻¹),0.359087352148039,2.030934011053422,1.2476755544424956,37.5,56.25
A3_physics_plus_activity_and_arrhenius,2,Vmax (nM s⁻¹),0.005483897096944079,0.5713740543829933,0.41437671006369226,56.25,75.0
A0_physics_no_arrhenius,3,Km (mM),-0.03789186125808497,1.2512006023143156,0.7809401997543142,33.33333333333333,66.66666666666666
A0_physics_no_arrhenius,3,Kcat (s⁻¹),0.34465231088051496,2.606498144792562,1.9150976714281394,6.666666666666667,46.666666666666664
A0_physics_no_arrhenius,3,Vmax (nM s⁻¹),0.30597518727497064,0.7339973626764636,0.585116721855292,26.666666666666668,66.66666666666666
A1_physics_plus_activity_category,3,Km (mM),0.4719070728195638,0.892495565771061,0.6355286939162593,46.666666666666664,60.0
A1_physics_plus_activity_category,3,Kcat (s⁻¹),0.30789275779873704,2.6786022593919028,1.9781748510689827,20.0,40.0
A1_physics_plus_activity_category,3,Vmax (nM s⁻¹),0.24741736963362715,0.7643356141018728,0.5520754696221074,40.0,66.66666666666666
A2_physics_plus_arrhenius,3,Km (mM),0.46476545602148667,0.8985100912479557,0.5939782149959854,40.0,80.0
A2_physics_plus_arrhenius,3,Kcat (s⁻¹),0.31036385364003105,2.6738161502062496,1.9936463179342871,20.0,33.33333333333333
A2_physics_plus_arrhenius,3,Vmax (nM s⁻¹),0.27171274712853966,0.7518970050747522,0.564463949603508,46.666666666666664,66.66666666666666
A3_physics_plus_activity_and_arrhenius,3,Km (mM),0.46777916219740967,0.8959769327217343,0.645050717530784,46.666666666666664,60.0
A3_physics_plus_activity_and_arrhenius,3,Kcat (s⁻¹),0.2810338001250501,2.7300824982410434,2.021622458779187,20.0,33.33333333333333
A3_physics_plus_activity_and_arrhenius,3,Vmax (nM s⁻¹),0.14723766933739635,0.813618855227672,0.595293560618039,40.0,66.66666666666666
A0_physics_no_arrhenius,4,Km (mM),-1.1209813818645151,1.9706451081173753,1.6315744025765215,20.0,26.666666666666668
A0_physics_no_arrhenius,4,Kcat (s⁻¹),0.15962170972655032,2.7630895099109054,2.3022346732081465,13.333333333333334,26.666666666666668
