publication_group,record_count
10.1021/acsabm.1c00017,12
10.1007/s12274-018-2241-3,9
10.1016/j.cej.2020.125530,6
10.1038/nnano.2007.260,6
10.1038/s41929-021-00609-x,6
10.1039/c9nj05955e,5
10.1002/ange.201813994,4
10.1016/j.talanta.2020.120990,4
10.1021/acs.langmuir.7b01926,4
10.1039/c6cc08542c,3
10.1021/bi00566a020,3
10.1021/acs.inorgchem.8b02423,3
10.1002/adfm.202007130,3
10.1039/d0ta09247a,3
10.1038/srep35344,3
10.1016/j.apcatb.2019.05.012,2
10.1016/j.apcatb.2020.118725,2
10.1016/j.msec.2018.10.008,2
10.1007/s00604-017-2582-8,2
10.1016/j.bios.2018.11.043,1
10.1016/j.jcis.2017.11.064,1
10.1021/nn102592h,1
10.1021/acsami.8b20942,1
