model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
M1_raw_independent,1,Km (mM),-0.05041129178804171,1.8026215362478504,1.6784584461239538,11.11111111111111,16.666666666666664
M1_raw_independent,1,Kcat (s⁻¹),0.7866353238726181,1.3606637668732915,1.1305618872376675,0.0,33.33333333333333
M1_raw_independent,1,Vmax (nM s⁻¹),-1.7086710073282294,1.502556846002326,1.0167264743802846,16.666666666666664,50.0
M2_raw_chain,1,Km (mM),-0.05041129178804171,1.8026215362478504,1.6784584461239538,11.11111111111111,16.666666666666664
M2_raw_chain,1,Kcat (s⁻¹),0.601766836694416,1.858909605164418,1.7989465985969422,0.0,0.0
M2_raw_chain,1,Vmax (nM s⁻¹),-1.083145519681329,1.3176879865174125,0.7406083492882469,44.44444444444444,72.22222222222221
M3_physics_independent,1,Km (mM),0.18110407064312306,1.5916193874958162,1.488924163511368,0.0,16.666666666666664
M3_physics_independent,1,Kcat (s⁻¹),0.8167715110590289,1.2609157216021842,0.8543726239972229,44.44444444444444,66.66666666666666
M3_physics_independent,1,Vmax (nM s⁻¹),-1.094018176612221,1.3211222458670207,0.9203323639166481,22.22222222222222,44.44444444444444
M4_full_physics_chain,1,Km (mM),0.18110407064312306,1.5916193874958162,1.488924163511368,0.0,16.666666666666664
M4_full_physics_chain,1,Kcat (s⁻¹),0.7884441820978393,1.3548837882025035,1.0625548541126146,11.11111111111111,50.0
M4_full_physics_chain,1,Vmax (nM s⁻¹),-1.1579031299598523,1.3411234440599942,0.9161275944526464,38.88888888888889,44.44444444444444
A0_physics_no_arrhenius,1,Km (mM),-0.03439174389701005,1.7888230701220547,1.6361860630632243,16.666666666666664,16.666666666666664
A0_physics_no_arrhenius,1,Kcat (s⁻¹),0.8469618811942491,1.1523631683329707,0.7302505395674176,38.88888888888889,66.66666666666666
A0_physics_no_arrhenius,1,Vmax (nM s⁻¹),-2.68895798317528,1.7534954217641638,1.0091448266654526,44.44444444444444,61.111111111111114
A1_physics_plus_activity_category,1,Km (mM),0.4147867141480319,1.3454945813345347,1.2803226889022876,0.0,16.666666666666664
A1_physics_plus_activity_category,1,Kcat (s⁻¹),0.7033337640666231,1.604440515783248,1.4263956610010948,0.0,0.0
A1_physics_plus_activity_category,1,Vmax (nM s⁻¹),-1.3009748663552405,1.3848690816991194,0.942505385772398,38.88888888888889,38.88888888888889
A2_physics_plus_arrhenius,1,Km (mM),0.18110407064312306,1.5916193874958162,1.488924163511368,0.0,16.666666666666664
A2_physics_plus_arrhenius,1,Kcat (s⁻¹),0.7884441820978393,1.3548837882025038,1.0625548541126149,11.11111111111111,50.0
A2_physics_plus_arrhenius,1,Vmax (nM s⁻¹),-1.1579031299598523,1.3411234440599942,0.9161275944526464,38.88888888888889,44.44444444444444
A3_physics_plus_activity_and_arrhenius,1,Km (mM),0.38731115718707854,1.376717555370917,1.299166904030252,0.0,16.666666666666664
A3_physics_plus_activity_and_arrhenius,1,Kcat (s⁻¹),0.681500293594328,1.662432719149878,1.3911555829457343,0.0,5.555555555555555
A3_physics_plus_activity_and_arrhenius,1,Vmax (nM s⁻¹),-1.0337210286446084,1.3019624880730352,0.8958008098644409,38.88888888888889,55.55555555555556
M1_raw_independent,2,Km (mM),-2.5218736278688767,1.6431362277568242,1.454170588128245,5.88235294117647,23.52941176470588
M1_raw_independent,2,Kcat (s⁻¹),-0.761944842810524,1.9124434786755178,1.3068272048059537,23.52941176470588,58.82352941176471
M1_raw_independent,2,Vmax (nM s⁻¹),-25.021221787942654,2.991078250937042,2.4864260087540884,5.88235294117647,29.411764705882355
M2_raw_chain,2,Km (mM),-2.521873627868877,1.6431362277568244,1.454170588128245,5.88235294117647,23.52941176470588
M2_raw_chain,2,Kcat (s⁻¹),-1.0705602178380835,2.0731770235189924,1.4069928387428798,23.52941176470588,64.70588235294117
M2_raw_chain,2,Vmax (nM s⁻¹),-24.110074202702872,2.9382444928113367,2.4074016383035857,17.647058823529413,29.411764705882355
M3_physics_independent,2,Km (mM),-1.233150312343399,1.308415453583213,1.0856935163851396,23.52941176470588,41.17647058823529
M3_physics_independent,2,Kcat (s⁻¹),-1.0015532481648517,2.0383371901652008,1.4833114320151013,17.647058823529413,35.294117647058826
M3_physics_independent,2,Vmax (nM s⁻¹),-15.506866385134806,2.3822989028212076,1.9971858356500263,11.76470588235294,29.411764705882355
M4_full_physics_chain,2,Km (mM),-1.233150312343399,1.308415453583213,1.0856935163851396,23.52941176470588,41.17647058823529
M4_full_physics_chain,2,Kcat (s⁻¹),-1.3050086970298844,2.1874026727096045,1.7279353393968004,11.76470588235294,17.647058823529413
M4_full_physics_chain,2,Vmax (nM s⁻¹),-17.17048120285973,2.499465503207715,2.0744077251274895,17.647058823529413,29.411764705882355
A0_physics_no_arrhenius,2,Km (mM),-1.6067624252067785,1.413635402528374,1.2718702386582688,5.88235294117647,35.294117647058826
A0_physics_no_arrhenius,2,Kcat (s⁻¹),-1.5013771554765727,2.278673196465869,1.8644056561482938,11.76470588235294,17.647058823529413
A0_physics_no_arrhenius,2,Vmax (nM s⁻¹),-15.350189246026549,2.3709659917573376,1.9854133359351085,11.76470588235294,29.411764705882355
A1_physics_plus_activity_category,2,Km (mM),-2.128072652939893,1.5485495364195925,1.3012017774952804,17.647058823529413,41.17647058823529
A1_physics_plus_activity_category,2,Kcat (s⁻¹),-1.1065586635880216,2.091121335898078,1.6354688851252133,5.88235294117647,11.76470588235294
A1_physics_plus_activity_category,2,Vmax (nM s⁻¹),-14.330090485271512,2.2958118431828725,1.9116520906374765,17.647058823529413,29.411764705882355
A2_physics_plus_arrhenius,2,Km (mM),-1.233150312343399,1.308415453583213,1.0856935163851396,23.52941176470588,41.17647058823529
A2_physics_plus_arrhenius,2,Kcat (s⁻¹),-1.3050086970298844,2.1874026727096045,1.7279353393968004,11.76470588235294,17.647058823529413
A2_physics_plus_arrhenius,2,Vmax (nM s⁻¹),-17.17048120285972,2.499465503207714,2.074407725127489,17.647058823529413,29.411764705882355
A3_physics_plus_activity_and_arrhenius,2,Km (mM),-2.2934485798466286,1.5889569481456862,1.35037924051319,5.88235294117647,41.17647058823529
