comparison,base_model,enhanced_model,fold,target,delta_R2
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Km (mM),0.23151536243116477
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Kcat (s⁻¹),0.030136187186410757
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,1,Vmax (nM s⁻¹),0.6146528307160084
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Km (mM),1.2887233155254778
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Kcat (s⁻¹),-0.2396084053543277
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,2,Vmax (nM s⁻¹),9.514355402807848
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Km (mM),0.19194682825775589
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Kcat (s⁻¹),-0.17764237812278294
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,3,Vmax (nM s⁻¹),0.0907557854665566
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Km (mM),0.7275942797066388
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Kcat (s⁻¹),0.39783474878214586
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,4,Vmax (nM s⁻¹),0.5087657183230867
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Km (mM),0.4530046172341702
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Kcat (s⁻¹),-0.22854595277909895
M3_minus_M1_engineered_representation,M1_raw_independent,M3_physics_independent,5,Vmax (nM s⁻¹),0.19100216054017372
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Kcat (s⁻¹),-0.028327328961189613
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,1,Vmax (nM s⁻¹),-0.06388495334763133
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Kcat (s⁻¹),-0.30345544886503273
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,2,Vmax (nM s⁻¹),-1.6636148177249233
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Kcat (s⁻¹),0.1739645650653845
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,3,Vmax (nM s⁻¹),0.13533361195012805
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Km (mM),-1.1102230246251565e-16
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Kcat (s⁻¹),-0.012145291448449225
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,4,Vmax (nM s⁻¹),0.8449784259188462
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Km (mM),0.0
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Kcat (s⁻¹),0.04368728086251927
M4_minus_M3_chain,M3_physics_independent,M4_full_physics_chain,5,Vmax (nM s⁻¹),-0.017877687858253832
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Km (mM),0.449178458045042
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Kcat (s⁻¹),-0.14362811712762602
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,1,Vmax (nM s⁻¹),1.3879831168200396
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Km (mM),-0.5213102277331143
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Kcat (s⁻¹),0.3948184918885511
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,2,Vmax (nM s⁻¹),1.0200987607550367
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Km (mM),0.2999434173927391
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Kcat (s⁻¹),0.15388461163996414
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,3,Vmax (nM s⁻¹),1.7004309907557453
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Km (mM),0.8713004030274829
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Kcat (s⁻¹),0.11223102544689656
A1_minus_A0_activity_category,A0_physics_no_arrhenius,A1_physics_plus_activity_category,4,Vmax (nM s⁻¹),-0.5219431046662812
