model,target,n_folds,mean_R2,std_R2,mean_RMSE_log10,std_RMSE_log10,mean_MAE_log10,mean_within_2x_pct,mean_within_5x_pct
M1_raw_independent,Km (mM),5,-0.7427189905412253,0.9550260067043967,1.52520907912279,0.2499859642410578,1.297267070277769,16.339869281045754,23.333333333333332
M1_raw_independent,Kcat (s⁻¹),5,-0.37300000107566095,0.7297849369039382,3.0606893251583314,1.1894489753175503,2.5192654852098615,10.588235294117647,24.313725490196077
M1_raw_independent,Vmax (nM s⁻¹),5,-8.229240716369514,9.460738539734912,2.278520264621574,1.1208587531655534,1.840610116095403,13.92156862745098,38.23529411764706
M2_raw_chain,Km (mM),5,-0.7427189905412253,0.9550260067043969,1.52520907912279,0.24998596424105782,1.297267070277769,16.339869281045754,23.333333333333332
M2_raw_chain,Kcat (s⁻¹),5,-0.3750101101965174,0.6426429334705059,3.0874011168990365,0.9245701892618987,2.5900480320675117,8.235294117647058,18.823529411764707
M2_raw_chain,Vmax (nM s⁻¹),5,-6.4623145818700705,9.002511910438947,2.0906361209431767,1.1957580558350824,1.6535277237672148,21.830065359477125,45.032679738562095
M3_physics_independent,Km (mM),5,-0.1641621099101837,0.6429035844842537,1.2620433570083394,0.32995494204653913,1.0870188128302636,9.411764705882351,36.27450980392156
M3_physics_independent,Kcat (s⁻¹),5,-0.41656516113319153,0.7851448341319166,3.0804002940407544,1.2172850481070578,2.5175077535150097,14.771241830065359,27.45098039215686
M3_physics_independent,Vmax (nM s⁻¹),5,-6.045334336798779,6.3738864538779625,2.070464202602223,1.0320055876278837,1.665026430682073,18.562091503267972,39.47712418300653
M4_full_physics_chain,Km (mM),5,-0.16416210991018373,0.6429035844842537,1.2620433570083394,0.3299549420465391,1.0870188128302636,9.411764705882351,36.27450980392156
M4_full_physics_chain,Kcat (s⁻¹),5,-0.4418204058025451,0.7926787104159887,3.0852761763726577,1.1199741623093256,2.5679978318819874,9.281045751633986,19.411764705882355
M4_full_physics_chain,Vmax (nM s⁻¹),5,-6.198347421011146,6.762099507337459,2.0821808265891177,1.0546866041130054,1.6586081271137758,25.424836601307188,38.30065359477124
A0_physics_no_arrhenius,Km (mM),5,-0.525056972606601,0.5970666915121798,1.4656368718950834,0.23021934251738319,1.260541747485034,18.627450980392155,26.862745098039216
A0_physics_no_arrhenius,Kcat (s⁻¹),5,-0.5361396654506296,0.881548423015194,3.14656160795293,1.2400464656702197,2.5885715140171386,16.013071895424837,22.745098039215684
A0_physics_no_arrhenius,Vmax (nM s⁻¹),5,-5.871523505266259,5.558236358249305,2.144999072371994,0.9787679559104708,1.6707548504561605,26.5359477124183,40.45751633986928
A1_physics_plus_activity_category,Km (mM),5,-0.17860028989704935,1.0081857867320778,1.190761186051136,0.33978718090148174,1.0142487584413116,15.294117647058822,43.33333333333333
A1_physics_plus_activity_category,Kcat (s⁻¹),5,-0.4021252851987624,0.7386247383243151,3.0845868858171626,1.042942541855104,2.622490937957288,3.529411764705882,8.235294117647058
A1_physics_plus_activity_category,Vmax (nM s⁻¹),5,-5.142051739740714,5.77230024434452,1.9538383273363635,1.1007750318369827,1.5782112076348596,23.0718954248366,39.54248366013072
A2_physics_plus_arrhenius,Km (mM),5,-0.1641621099101837,0.6429035844842537,1.2620433570083394,0.3299549420465391,1.0870188128302636,9.411764705882351,36.27450980392156
A2_physics_plus_arrhenius,Kcat (s⁻¹),5,-0.4418204058025451,0.7926787104159887,3.0852761763726577,1.1199741623093256,2.567997831881987,9.281045751633986,19.411764705882355
A2_physics_plus_arrhenius,Vmax (nM s⁻¹),5,-6.198347421011144,6.762099507337455,2.0821808265891173,1.0546866041130054,1.6586081271137758,25.424836601307188,38.30065359477124
A3_physics_plus_activity_and_arrhenius,Km (mM),5,-0.22932777581976688,1.0681859468851638,1.2112088030877133,0.3499414655379602,1.0177227684521812,15.294117647058822,42.15686274509804
A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),5,-0.38863634114150447,0.7156743441042698,3.1002271281872575,1.067628998109158,2.6192632055495335,3.529411764705882,9.346405228758169
A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),5,-5.130850141116583,5.859348892725947,1.9458158323980868,1.1144677674752403,1.5800550564142832,23.071895424836605,44.05228758169935
