analysis,model,target,n_samples,n_publications,pooled_OOF_R2,pooled_OOF_RMSE_log10,pooled_OOF_MAE_log10,pooled_OOF_within_2x_pct,pooled_OOF_within_5x_pct
random_5fold_cv,M1_raw_independent,Km (mM),86,,-0.14572557700893696,1.4547600116348696,1.1603388450647767,16.27906976744186,38.372093023255815
random_5fold_cv,M1_raw_independent,Kcat (s⁻¹),86,,0.42111112346198787,2.4677748484229567,1.9450571102810936,9.30232558139535,25.581395348837212
random_5fold_cv,M1_raw_independent,Vmax (nM s⁻¹),86,,0.13436443452512647,1.6108753583402373,1.0063863329674723,31.3953488372093,59.30232558139535
random_5fold_cv,M2_raw_chain,Km (mM),86,,-0.14572557700893696,1.4547600116348696,1.1603388450647767,16.27906976744186,38.372093023255815
random_5fold_cv,M2_raw_chain,Kcat (s⁻¹),86,,0.39480684430098023,2.52321893570468,2.074711292704588,4.651162790697675,16.27906976744186
random_5fold_cv,M2_raw_chain,Vmax (nM s⁻¹),86,,0.10457139065318488,1.6383620340352067,1.0270962123213927,24.418604651162788,58.139534883720934
random_5fold_cv,M3_physics_independent,Km (mM),86,,0.2733056964101038,1.1585824042536015,0.810513828060671,31.3953488372093,59.30232558139535
random_5fold_cv,M3_physics_independent,Kcat (s⁻¹),86,,0.47897966523565605,2.341182494163484,1.747140903245388,20.930232558139537,36.04651162790697
random_5fold_cv,M3_physics_independent,Vmax (nM s⁻¹),86,,0.35853194875396166,1.3866980595285947,0.8434326985831635,34.883720930232556,61.627906976744185
random_5fold_cv,M4_full_physics_chain,Km (mM),86,,0.2733056964101038,1.1585824042536015,0.810513828060671,31.3953488372093,59.30232558139535
random_5fold_cv,M4_full_physics_chain,Kcat (s⁻¹),86,,0.4752095593630251,2.3496376307780005,1.7714079765592736,22.093023255813954,33.72093023255814
random_5fold_cv,M4_full_physics_chain,Vmax (nM s⁻¹),86,,0.3448773656777556,1.4013792884593865,0.830992931312606,41.86046511627907,63.95348837209303
random_5fold_cv,A0_physics_no_arrhenius,Km (mM),86,,-0.16514065829689795,1.4670341692106703,1.1303995177587347,19.767441860465116,44.18604651162791
random_5fold_cv,A0_physics_no_arrhenius,Kcat (s⁻¹),86,,0.4871782295911793,2.3226895077859573,1.7309346255980822,17.441860465116278,36.04651162790697
random_5fold_cv,A0_physics_no_arrhenius,Vmax (nM s⁻¹),86,,0.24000535129193667,1.5093837133561478,0.910726975626702,31.3953488372093,62.7906976744186
random_5fold_cv,A1_physics_plus_activity_category,Km (mM),86,,0.592105993835289,0.8680099675649713,0.6084323163460369,38.372093023255815,72.09302325581395
random_5fold_cv,A1_physics_plus_activity_category,Kcat (s⁻¹),86,,0.43397025948261525,2.4402119894253533,1.8159007231194082,24.418604651162788,31.3953488372093
random_5fold_cv,A1_physics_plus_activity_category,Vmax (nM s⁻¹),86,,0.3795285592339519,1.3638144594007118,0.7823959559029138,38.372093023255815,62.7906976744186
random_5fold_cv,A2_physics_plus_arrhenius,Km (mM),86,,0.2733056964101038,1.1585824042536015,0.810513828060671,31.3953488372093,59.30232558139535
random_5fold_cv,A2_physics_plus_arrhenius,Kcat (s⁻¹),86,,0.475209559363025,2.349637630778001,1.7714079765592736,22.093023255813954,33.72093023255814
random_5fold_cv,A2_physics_plus_arrhenius,Vmax (nM s⁻¹),86,,0.3448773656777556,1.4013792884593865,0.830992931312606,41.86046511627907,63.95348837209303
random_5fold_cv,A3_physics_plus_activity_and_arrhenius,Km (mM),86,,0.6111493271066784,0.84750540757049,0.5959679735158516,39.53488372093023,72.09302325581395
random_5fold_cv,A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),86,,0.419500086411006,2.4712063485422866,1.8412625704543866,23.25581395348837,36.04651162790697
random_5fold_cv,A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),86,,0.370565658097175,1.3736295012004296,0.7828892897525795,38.372093023255815,60.46511627906976
